proc 0
  put 8klc9 3
  put 38dj4 6
  put 39xn8 5
  put 8xqn4 0
  put 7zn1e 9
  put 8dzvk 4
  put 25ddv 2
  put iicm 0
  put 2gv9s 7
  put 5w6pe 9
  put 85tvv 1
  put 5qutj 1
  put 2hzfu 2
  put 8r1jt 3
  put 1riej 2
  put 44imk 3
  put 1ue5l 3
  put 3xfu6 2
  put 625y8 5
  put 40zm6 9
  put 5jcdm 8
  put 3swy7 1
  put 376yv 4
  put nbfy 7
  put 5dc8p 0
  put 4ihc9 8
  put 8t1as 1
  put 3qvq6 2
  put 7stkr 4
  put 9li86 6
  put 2idau 7
  put 54y6h 5
  put 5ynbu 6
  put r8l6 4
  put 9tm72 6
  put 78la3 5
  put nm5x 0
  put 624wl 0
  put 1ifbh 9
  put 9vuq6 4
  put 8dyy5 3
  put 99s2p 0
  put 2m2n6 1
  put 28hez 8
  put 8uop1 4
  put 7sogf 6
  put 82sxw 1
  put 6gr8x 5
  put 2dp7c 7
  put 6emyi 7
  put 4x2t7 7
  put 573w2 4
  put 22srx 5
  put 7niz 9
  put 8q5dp 3
  put 1h1xz 4
  put 1wnsd 2
  put 5d6t3 9
  put b8x5 1
  put 9jnl0 3
  put 9jih2 3
  put 8eq18 6
  put 8h25z 7
  put 139b8 4
  put 4v3a4 8
  put 1jpxs 0
  put 2qt6n 8
  put 64o64 0
  put nizw 3
  put 13ysy 4
  put 3lfxt 7
  put 3m84r 4
  put 11i5s 3
  put r5cl 9
  put 3tj3t 8
  put 7wuac 7
  put 4b4mm 7
  put 77ry9 4
  put 63vsn 7
  put 2ugmd 8
  put 4y3zc 0
  put 2lox1 6
  put 8z4wd 8
  put 1xnre 5
  put 9vaq6 9
  put 553vx 7
  put 3qirv 7
  put 29kix 2
  put 63npy 5
  put 7u503 7
  put 19m8v 1
  put 87sx5 6
  put 8m2bt 8
  put 6uqjo 5
  put 38aq5 2
  put 599lx 2
  put 5tmq5 9
  put 5t3ra 3
  put 9q2c4 4
  put 1d9cc 7
  put 3icn 5
  put 4x3qw 1
  put 5smeg 3
  put 3ukty 9
  put 96gw 3
  put 9chz6 0
  put 8njnp 4
  put 96bi9 1
  put 3i2hd 3
  put 1rn0o 8
  put 8pe4c 3
  put 5xf51 3
  put 8w316 1
  put 8gwo3 2
  put 71t9t 9
  put oc3m 7
  put 93e4t 2
  put 9uyrz 8
  put 6ro4p 8
  put 5fbch 2
  put 84jr2 7
  put 6oii9 6
  put 6nmhn 6
  put 4mpan 7
  put 5vvn 0
  put 1mp9e 7
  put 4govy 1
  put 8jn1 7
  put x4j9 3
  put 96evw 6
  put wzq1 7
  put 5l6u8 8
  put 2ggbs 5
  put n0sd 5
  put 3rtz1 2
  put 64xg9 9
  put 9rh50 5
  put 8yaaa 9
  put 1s6hf 8
  put 61dqa 0
  put 86yn9 9
  put 3edxs 5
  put 6t6hr 6
  put 8b9wr 0
  put 4s2tk 4
  put 7ze18 4
  put 9mecu 0
  put 29fxb 2
  put 15g1t 1
  put 5x8wc 7
  put d2bm 8
  put 9t43g 3
  put 53msb 7
  put 8s368 1
  put 7j6ps 7
  put 6thef 9
  put 1ke17 6
  put 3lhjs 9
  put 7fnbt 2
  put i8z0 9
  put 9fa91 1
  put 1bmom 3
  put 8n44h 2
  put 2ztka 3
  put 55ulf 5
  put 947w5 9
  put y9gc 5
  put 5dvl3 5
  put 2bwxp 5
  put 2hdrz 4
  put 7xax9 7
  put e4p3 8
  put 8f9ve 8
  put 4kp9h 4
  put 21smc 9
  put 1qvld 2
  put 5fsmt 3
  put 42s74 4
  put 3t9gc 8
  put 4e8sn 5
  put 26elb 1
  put 2v4aw 6
  put z0jh 3
  put 3581k 1
  put 32mj 8
  put pwpv 9
  put 578bs 8
  put 5gnzy 8
  put 3mmls 3
  put 59l12 2
  put 9eyxu 6
  put 2q0l2 3
  put 4a9fl 2
  put 8zhuu 0
  put 7awtm 1
  put 7ezg9 4
  put 52c64 0
  put 30e53 5
  put 3sca3 1
  put 9vlke 2
  put 6ewsa 3
  put 5kpzh 3
  put 4ne0c 4
  put 5aq8e 4
  put 44e7m 3
  put 4ic58 0
  put 8fozt 6
  put iz0f 2
  put 62pgt 9
  put 4thvh 2
  put 9j0iw 0
  put 4c5wb 9
  put uqp 5
  put 82sel 2
  put 854kv 0
  put 1lj1v 8
  put 12z0m 3
  put 1awih 2
  put 3yawi 1
  put 90job 0
  put 174g8 3
  put 3n9dn 0
  put 4278a 2
  put 81t18 0
  put hu9 2
  put 2sajp 3
